Passenger_ID,Flight_ID,Airline,Departure_Airport,Arrival_Airport,Departure_Time,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Booking_Lead_Time
P98,F561,JetBlue,LAX,LAX,2024-11-07 22:46:15,158,Cancelled,1275,274.51,37,Male,Medium,Family,Economy,0,Silver,Online,5.637941831438538,15.0,90,0,0,Aisle,33
P99,F1104,American Airlines,SFO,ORD,2025-03-24 07:35:17,209,Delayed,1142,364.28,56,Male,Medium,Leisure,Business,1,Silver,Mobile App,8.706109832462372,5.0,111,0,1,Aisle,73
P101,F146,Southwest,SEA,SEA,2023-05-15 01:27:24,221,On-time,889,492.83,25,Male,Low,Business,Economy,0,Silver,Airport Kiosk,8.633224673026445,10.0,38,0,0,Aisle,99
P102,F1655,American Airlines,DEN,JFK,2024-08-02 17:46:21,215,On-time,1439,435.41,73,Male,Low,Emergency,First,3,Silver,Online,7.28721637810988,22.0,101,0,0,Window,13
P105,F1320,Delta,DEN,SEA,2024-04-03 17:13:32,244,On-time,1305,235.2,51,Female,High,Emergency,First,4,Silver,Airport Kiosk,8.549017593189275,1.0,57,0,0,Window,14
P106,F866,Southwest,DFW,DFW,2024-11-10 04:44:00,205,On-time,1827,350.71,42,Male,Medium,Leisure,Economy,1,Silver,Desk,7.02962937324226,5.0,89,0,0,Window,71
P107,F292,Southwest,ATL,JFK,2025-04-04 15:26:34,161,On-time,1390,195.0,75,Male,High,Emergency,Economy,4,Silver,Airport Kiosk,7.625877564011341,1.0,4,0,0,Aisle,77
P110,F15,American Airlines,DEN,ORD,2023-10-27 12:24:58,202,On-time,1303,260.88,47,Female,Medium,Emergency,Economy,1,Platinum,Desk,7.865901435071176,15.0,50,0,0,Middle,61
P112,F967,United,SFO,JFK,2024-10-12 21:37:15,105,On-time,1518,342.85,29,Female,High,Business,Premium Economy,3,Silver,Airport Kiosk,8.95164695760196,10.0,21,0,1,Middle,84
P113,F894,Southwest,SFO,ATL,2024-03-08 01:25:44,242,On-time,950,506.77,62,Male,Medium,Family,Business,5,Platinum,Airport Kiosk,8.638926526883917,3.0,79,0,0,Aisle,79
P114,F1596,Delta,ATL,DEN,2025-03-14 14:00:04,133,Cancelled,925,329.48,29,Male,Medium,Emergency,Economy,2,Gold,Desk,7.317073776288238,7.0,8,0,0,Middle,108
P116,F590,JetBlue,JFK,SFO,2024-07-07 02:14:05,146,On-time,1255,455.03,71,Female,Medium,Business,Business,0,Silver,Airport Kiosk,8.541879759556116,5.0,66,0,0,Middle,110
P117,F1014,American Airlines,LAX,DFW,2023-05-26 10:35:42,156,On-time,1107,300.33,54,Male,Low,Emergency,Economy,1,Gold,Desk,8.096841668078826,3.0,58,1,0,Aisle,52
P118,F472,Delta,SFO,ATL,2023-11-16 03:31:58,145,Delayed,979,363.47,67,Female,Medium,Leisure,Economy,2,Silver,Airport Kiosk,8.66969655690077,0.0,24,1,0,Window,23
P119,F1697,American Airlines,JFK,SEA,2023-12-07 12:28:21,204,Delayed,985,151.12,26,Male,High,Leisure,Economy,1,Gold,Desk,7.169398930622968,9.0,17,0,0,Window,25
P121,F1965,American Airlines,DFW,LAX,2024-11-26 21:32:09,237,On-time,1775,384.83,25,Male,Medium,Emergency,Economy,0,Silver,Mobile App,7.314886298167475,6.0,67,0,1,Aisle,59
P122,F1475,United,ATL,ORD,2024-04-29 05:54:23,140,On-time,1306,128.22,79,Male,Medium,Leisure,Premium Economy,3,Silver,Mobile App,7.577120449441406,6.0,101,0,0,Window,108
P128,F1539,American Airlines,SEA,ORD,2024-02-16 15:15:12,200,On-time,1294,428.48,42,Female,Low,Emergency,Business,3,Platinum,Mobile App,8.91314727981923,7.0,7,0,0,Middle,88
P129,F1437,JetBlue,SFO,ORD,2023-07-19 21:38:07,164,On-time,1125,316.42,62,Male,High,Emergency,Economy,0,Silver,Online,7.439032629641317,0.0,39,0,0,Aisle,70
P131,F349,JetBlue,LAX,LAX,2023-05-11 17:08:11,191,On-time,1288,532.86,29,Female,Low,Business,Economy,1,Platinum,Mobile App,8.235989460836127,6.0,104,0,1,Window,87
P132,F747,United,JFK,SFO,2023-07-08 15:21:17,255,On-time,1044,382.4,43,Female,Low,Family,Economy,1,Platinum,Desk,7.425274457991406,1.0,2,0,0,Window,0
P133,F1572,American Airlines,LAX,SFO,2024-12-26 00:15:55,132,On-time,935,294.25,19,Male,Medium,Leisure,Premium Economy,2,Silver,Mobile App,8.64894774343074,13.0,78,0,0,Aisle,107
P136,F1104,JetBlue,LAX,SFO,2024-12-27 06:16:44,217,On-time,839,330.76,60,Male,High,Leisure,Premium Economy,0,Silver,Mobile App,7.382779133100767,15.0,23,0,0,Middle,62
P140,F1632,Southwest,ATL,ATL,2023-12-09 20:31:32,172,On-time,1369,298.4,51,Male,Medium,Business,Business,1,Silver,Desk,7.073823229850237,37.0,22,0,0,Window,7
P143,F1873,JetBlue,DFW,LAX,2024-11-04 05:44:48,181,On-time,1249,176.04,37,Female,Medium,Leisure,Economy,3,Platinum,Mobile App,8.126637415918813,6.0,45,0,0,Aisle,32
P146,F1557,United,SEA,DFW,2023-10-03 09:15:45,225,On-time,1136,303.95,60,Female,Low,Emergency,Premium Economy,1,Silver,Airport Kiosk,7.272583467317122,13.0,72,0,1,Aisle,102
P148,F1414,Delta,DFW,JFK,2024-02-26 08:20:09,181,Cancelled,725,272.76,24,Female,High,Emergency,Business,1,Gold,Airport Kiosk,8.75827663213736,19.0,27,0,0,Aisle,27
P149,F56,American Airlines,ATL,ORD,2024-06-06 18:03:39,172,On-time,1488,275.29,72,Female,Medium,Business,Business,1,Gold,Online,8.306430435146693,11.0,90,0,0,Middle,6
P150,F437,Southwest,LAX,DFW,2023-09-22 02:27:38,283,On-time,1529,296.31,41,Male,Low,Family,Economy,1,Silver,Mobile App,8.310511926593751,7.0,63,0,1,Middle,72
P151,F782,American Airlines,DFW,LAX,2024-12-04 11:48:41,178,On-time,1387,441.05,31,Male,High,Family,Economy,3,Gold,Mobile App,8.153329887704084,1.0,103,0,0,Aisle,71
P156,F1166,American Airlines,ORD,JFK,2025-03-17 12:41:10,223,Delayed,1326,291.85,20,Female,High,Leisure,Economy,1,Silver,Mobile App,6.873194097422267,12.0,70,0,0,Window,118
P157,F1027,American Airlines,ORD,LAX,2025-04-15 21:43:11,169,On-time,777,361.79,77,Female,Medium,Leisure,Business,2,Gold,Airport Kiosk,8.01208330776053,4.0,112,0,0,Aisle,22
P159,F1017,American Airlines,SFO,LAX,2024-05-30 14:31:59,127,On-time,1027,491.89,34,Male,Low,Family,Economy,0,Gold,Airport Kiosk,7.409103460359736,16.0,35,0,0,Aisle,87
P160,F1990,American Airlines,DEN,DFW,2023-09-21 09:17:47,224,Delayed,1126,535.81,51,Female,Medium,Emergency,Premium Economy,2,Platinum,Online,8.947477011966694,5.0,34,0,0,Aisle,36
P161,F1336,Southwest,ORD,DEN,2024-09-04 11:42:32,442,On-time,1470,342.95,55,Female,Medium,Emergency,Economy,1,Silver,Desk,6.491164021415272,17.0,89,0,0,Middle,98
P162,F1555,Delta,SEA,JFK,2025-01-31 00:06:48,38,On-time,907,476.42,21,Male,Low,Family,Economy,3,Platinum,Mobile App,6.962648007784418,14.0,80,0,0,Window,43
P165,F711,Delta,SFO,DEN,2023-09-17 21:47:11,154,On-time,1562,376.6,52,Male,Low,Business,Premium Economy,2,Silver,Airport Kiosk,8.203247003396639,0.0,77,0,1,Aisle,90
P169,F689,United,SEA,SEA,2024-03-11 03:28:10,252,On-time,1434,318.63,72,Male,Medium,Leisure,Economy,1,Gold,Mobile App,7.443287137873439,1.0,2,0,0,Window,100
P171,F1311,Southwest,LAX,JFK,2024-06-06 11:05:31,201,On-time,734,281.07,30,Female,Low,Emergency,Economy,0,Gold,Airport Kiosk,7.78706796066392,8.0,100,0,0,Aisle,77
P172,F596,Southwest,ORD,ORD,2023-05-04 10:04:03,208,On-time,754,148.59,59,Male,Medium,Family,Economy,2,Gold,Desk,7.041107708962667,10.0,41,0,0,Middle,2
P176,F366,Southwest,LAX,LAX,2024-07-19 22:41:27,270,Delayed,1538,332.03,78,Male,High,Family,Premium Economy,1,Gold,Airport Kiosk,9.163474670941188,4.0,68,0,0,Aisle,118
P177,F521,Southwest,DFW,SEA,2024-09-21 17:44:24,224,On-time,966,100.44,74,Female,Medium,Emergency,Economy,2,Silver,Online,7.61329843711085,9.0,1,0,1,Aisle,13
P178,F282,Southwest,JFK,ORD,2024-10-02 23:58:10,169,Delayed,1395,227.81,42,Male,High,Business,Premium Economy,1,Silver,Mobile App,8.620336754711612,20.0,19,0,0,Aisle,102
P181,F90,Delta,ORD,DEN,2024-11-22 00:14:40,179,On-time,1351,467.42,63,Male,Low,Emergency,Business,1,Silver,Mobile App,9.249614601693484,6.0,93,0,0,Middle,78
P182,F662,United,ORD,SFO,2023-08-28 22:01:07,190,Delayed,1198,645.14,47,Male,Medium,Leisure,Premium Economy,0,Silver,Airport Kiosk,6.979105287993529,7.0,15,0,0,Window,14
P183,F943,United,ATL,ATL,2023-04-26 02:26:30,151,On-time,1629,391.74,37,Male,Low,Family,Premium Economy,0,Gold,Airport Kiosk,8.51377444922926,1.0,102,0,0,Middle,89
P185,F586,Delta,LAX,SFO,2024-04-06 15:54:34,171,Delayed,716,491.71,51,Male,High,Business,Economy,1,Silver,Airport Kiosk,7.610281308880905,4.0,48,0,0,Aisle,76
P187,F1408,United,SEA,DEN,2024-06-07 09:49:29,163,On-time,1063,168.45,79,Male,Medium,Business,Business,0,Platinum,Airport Kiosk,8.613738479991385,5.0,69,0,0,Window,62
P191,F1774,Delta,DEN,LAX,2024-01-04 00:15:09,181,Cancelled,1206,466.06,34,Male,Low,Family,Economy,1,Silver,Desk,7.876047796840404,1.0,104,0,0,Middle,51
P192,F420,United,JFK,JFK,2024-06-13 01:35:38,342,On-time,1227,573.85,79,Male,Medium,Emergency,Business,1,Gold,Mobile App,9.153218113929476,15.0,50,0,0,Window,95
P193,F744,Delta,LAX,JFK,2024-10-15 18:08:10,116,On-time,2045,330.79,56,Male,Low,Emergency,Economy,0,Platinum,Online,6.124747493944773,12.0,34,0,0,Aisle,3
P197,F228,JetBlue,SFO,DFW,2024-03-10 08:11:55,108,Delayed,1374,350.91,74,Male,Medium,Leisure,Economy,0,Platinum,Desk,8.247374467606203,18.0,97,0,0,Middle,102
P199,F931,Delta,ORD,LAX,2024-03-01 00:12:46,115,On-time,1069,541.6,79,Female,Medium,Emergency,Business,1,Silver,Airport Kiosk,7.793468571775711,0.0,32,1,0,Middle,14
P201,F551,United,SEA,SFO,2024-03-05 21:33:59,262,On-time,2087,368.93,75,Male,High,Business,Business,1,Silver,Desk,8.44893819833634,17.0,63,0,1,Window,28
P202,F1278,Southwest,SFO,JFK,2024-04-21 00:34:39,113,Delayed,893,392.44,43,Male,High,Family,Business,2,Gold,Airport Kiosk,8.55390668602423,6.0,97,0,0,Middle,35
P203,F1650,United,JFK,SFO,2025-03-16 11:09:56,241,On-time,659,306.74,38,Male,High,Family,Economy,4,Platinum,Desk,7.445793948264236,5.0,71,0,0,Aisle,12
P205,F620,United,LAX,JFK,2024-12-09 23:40:30,142,On-time,928,340.63,65,Female,High,Family,Economy,1,Silver,Mobile App,7.121372987563008,10.0,35,0,0,Middle,70
P210,F89,Southwest,LAX,DFW,2025-01-19 16:04:09,177,Delayed,571,277.69,34,Male,Low,Business,Premium Economy,1,Silver,Mobile App,8.990078319323414,15.0,64,0,1,Middle,65
P213,F1773,United,ORD,ORD,2023-09-24 19:08:48,168,On-time,1137,321.58,24,Female,High,Family,Economy,1,Platinum,Airport Kiosk,7.821238407512891,7.0,30,0,1,Middle,61
P214,F1443,JetBlue,LAX,ATL,2024-02-14 20:17:26,118,On-time,940,415.92,22,Female,Medium,Family,Economy,0,Silver,Desk,7.997479401236027,8.0,23,0,0,Window,56
P215,F1522,JetBlue,ATL,LAX,2024-07-31 18:09:42,59,On-time,1020,321.52,45,Male,Medium,Business,Economy,2,Platinum,Airport Kiosk,8.20209702603221,24.0,82,0,0,Aisle,116
P223,F136,Southwest,DEN,JFK,2024-04-26 15:14:59,112,Cancelled,1024,216.76,43,Female,Low,Family,Economy,0,Silver,Mobile App,7.3873867945999825,18.0,61,0,0,Middle,61
P224,F1947,United,ATL,LAX,2024-05-09 17:03:33,212,On-time,898,399.35,41,Female,High,Family,Economy,0,Silver,Desk,8.791723952027233,4.0,65,0,0,Middle,74
P228,F1962,American Airlines,DFW,ATL,2023-11-21 20:57:52,108,On-time,1068,481.61,63,Female,Medium,Leisure,Economy,1,Gold,Airport Kiosk,7.490406108611082,7.0,34,0,1,Window,102
P229,F1795,Southwest,DFW,SEA,2023-06-08 10:55:14,179,On-time,1277,430.65,53,Male,Medium,Family,Premium Economy,0,Platinum,Online,7.124309115011229,7.0,31,0,0,Window,61
P233,F594,JetBlue,DFW,JFK,2023-10-11 14:27:07,263,On-time,1374,509.27,21,Female,High,Business,Economy,0,Silver,Online,7.316162156055239,16.0,42,0,1,Aisle,26
P234,F255,Southwest,DEN,JFK,2025-04-06 17:42:49,37,On-time,1125,319.31,40,Female,Medium,Emergency,Economy,3,Gold,Online,7.582964634230477,5.0,102,0,1,Window,61
P235,F1260,Delta,JFK,SEA,2023-08-25 16:52:47,200,On-time,1377,530.7,60,Male,Medium,Leisure,Premium Economy,4,Silver,Mobile App,7.373603185758869,12.0,12,0,0,Middle,120
P237,F455,JetBlue,DEN,LAX,2025-03-19 12:24:32,229,On-time,905,245.2,24,Male,Medium,Business,Economy,2,Platinum,Airport Kiosk,8.432538248266257,1.0,109,0,0,Aisle,76
P238,F1783,Delta,JFK,DFW,2023-10-19 00:49:02,138,On-time,962,226.61,65,Female,Medium,Leisure,Economy,1,Silver,Airport Kiosk,8.85639530038016,0.0,106,0,0,Window,104
P242,F1310,Southwest,LAX,DFW,2024-07-12 11:55:29,224,On-time,1565,370.97,74,Female,Low,Leisure,Economy,0,Silver,Desk,7.37462467146923,13.0,30,0,1,Aisle,71
P245,F545,American Airlines,ATL,LAX,2023-10-05 11:45:19,245,On-time,1505,529.43,18,Female,Low,Emergency,Economy,3,Gold,Airport Kiosk,7.744182347472467,0.0,28,0,0,Middle,61
P246,F1159,Delta,DEN,LAX,2024-05-15 15:58:10,223,On-time,1496,202.34,30,Female,Medium,Emergency,Economy,1,Gold,Online,7.2164413279316655,14.0,43,0,1,Middle,36
P250,F1473,JetBlue,SEA,DFW,2023-12-27 14:08:52,162,Delayed,1417,381.31,73,Male,High,Leisure,Premium Economy,0,Gold,Airport Kiosk,7.663320725410617,1.0,100,0,0,Window,43
P252,F1280,JetBlue,SEA,DEN,2023-05-28 02:26:25,40,On-time,1439,306.51,50,Male,Low,Emergency,Economy,1,Silver,Online,7.552057497910837,6.0,59,0,0,Aisle,78
P255,F1817,American Airlines,ORD,ORD,2023-08-11 11:22:26,212,On-time,1173,294.32,75,Female,Low,Business,Economy,2,Gold,Online,7.716548930686929,1.0,88,0,0,Middle,31
P258,F1523,Delta,LAX,ORD,2025-02-02 01:57:53,135,Delayed,368,308.44,67,Female,Medium,Emergency,Economy,1,Silver,Airport Kiosk,8.676852259219205,12.0,99,0,1,Window,104
P259,F1741,Southwest,DFW,ORD,2024-01-17 14:50:53,211,On-time,834,342.63,71,Male,Low,Family,Economy,0,Silver,Mobile App,7.6175114655219245,2.0,100,0,0,Middle,51
P260,F1272,Southwest,LAX,LAX,2024-07-22 18:58:50,126,On-time,468,303.37,22,Female,Medium,Business,Premium Economy,1,Gold,Desk,7.559017325220101,5.0,2,0,0,Window,112
P261,F1310,Southwest,ATL,SEA,2023-07-29 08:51:26,134,Delayed,1583,433.22,57,Female,High,Business,Business,2,Silver,Mobile App,7.813136136827147,11.0,82,1,0,Window,61
P262,F934,Southwest,DEN,DFW,2024-06-27 23:25:45,173,On-time,1683,177.51,38,Male,Medium,Business,Economy,1,Silver,Desk,8.011689084033247,7.0,24,0,0,Aisle,112
P263,F532,Southwest,DFW,LAX,2025-01-02 23:31:08,146,On-time,1129,407.11,79,Male,High,Business,Economy,2,Silver,Mobile App,6.917920952755265,3.0,10,0,0,Aisle,57
P264,F1331,United,SEA,JFK,2024-07-29 10:43:43,149,On-time,1770,329.35,20,Female,Medium,Family,Economy,0,Gold,Desk,7.776079061672085,19.0,23,0,1,Aisle,51
P265,F147,Southwest,DEN,DFW,2023-06-18 10:00:59,238,On-time,907,346.56,38,Female,Medium,Family,Economy,1,Silver,Desk,6.341123297116953,15.0,83,0,0,Window,11
P268,F580,JetBlue,DFW,ATL,2023-11-05 04:23:51,131,On-time,1367,430.89,42,Female,Medium,Leisure,Economy,1,Silver,Desk,6.554047707271344,6.0,6,0,0,Window,2
P269,F1823,American Airlines,JFK,LAX,2023-06-07 09:11:01,51,On-time,1481,509.08,42,Female,High,Business,Economy,0,Gold,Online,7.517288151136322,8.0,7,0,0,Window,112
P271,F1701,JetBlue,JFK,SEA,2025-03-24 09:44:59,143,Cancelled,1104,293.08,47,Male,Medium,Leisure,Economy,1,Silver,Mobile App,8.126564086283057,2.0,108,0,0,Aisle,112
P272,F1329,Southwest,LAX,JFK,2023-11-14 08:46:49,174,Delayed,585,579.91,41,Female,High,Emergency,Economy,0,Gold,Airport Kiosk,7.184659568116667,36.0,43,0,0,Window,55
